vol,abs
,
-0.07445,0
-0.07167,0
-0.06889,0
-0.06611,0
-0.06333,0
-0.06055,0
-0.05777,0
-0.054989,0
-0.052209,0
-0.049429,0
-0.046649,0
-0.043869,0
-0.041089,0
-0.038308,0
-0.035528,0
-0.032748,0
-0.029968,0
-0.027188,0
-0.024408,0
-0.021627,0
-0.018847,0
-0.016067,0
-0.013287,0
-0.010507,0
-0.007727,0
-0.004946,0
-0.002166,0
0.000614,0
0.003394,0
0.006174,0
0.008954,0
0.011735,0
0.014515,0
0.017295,0
0.020075,0
0.022855,0
0.025635,0
0.028416,0
0.031196,0
0.033976,0
0.036756,0
0.039536,0
0.042316,0
0.045097,0
0.047877,0
0.050657,0
0.053437,0
0.056217,0
0.058997,0
0.061777,0
0.064558,0
0.067338,0
0.070118,0
0.072898,0
0.075678,0
0.078458,0
0.081239,0
0.084019,0
0.086799,0
0.089579,0
0.092359,0
0.095139,0
0.09792,0
0.1007,0
0.10348,0
0.10626,0
0.10904,0
0.11182,0
0.114601,0
0.117381,0
0.120161,0
0.122941,0
0.125721,0
0.128501,0
0.131282,0
0.134062,0
0.136842,0
0.139622,0
0.142402,0
0.145182,0
0.147963,0
0.150743,0
0.153523,0
0.156303,0
0.159083,0
0.161863,0
0.164643,0
0.167424,0
0.170204,0
0.172984,0
0.175764,0
0.178544,0
0.181324,0
0.184105,0
0.186885,0
0.189665,0
0.192445,0
0.195225,0
0.198005,0
0.200786,0
0.203566,0
0.206346,0
0.209126,0
0.211906,0
0.214686,0
0.217467,0
0.220247,0
0.223027,0
0.225807,0
0.228587,0
0.231367,0
0.234148,0
0.236928,0
0.239708,0
0.242488,0
0.245268,0
0.248048,0
0.250829,0
0.253609,0
0.256389,0
0.259169,0
0.261949,0
0.264729,0
0.267509,0
0.27029,0
0.27307,0
0.27585,0
0.27863,0
0.28141,0
0.28419,0
0.286971,0
0.289751,0
0.292531,0
0.295311,0
0.298091,0
0.300871,0
0.303652,0
0.306432,0
0.309212,0
0.311992,0
0.314772,0
0.317552,0
0.320333,0
0.323113,0
0.325893,0
0.328673,0
0.331453,0
0.334233,0
0.337014,0
0.339794,0
0.342574,0
0.345354,0
0.348134,0
0.350914,0
0.353695,0
0.356475,0
0.359255,0
0.362035,0
0.364815,0
0.367595,0
0.370376,0
0.373156,0
0.375936,0
0.378716,0
0.381496,0
0.384276,0
0.387056,0
0.389837,0
0.392617,0
0.395397,0
0.398177,0
0.400957,0
0.403737,0
0.406518,0
0.409298,0
0.412078,0
0.414858,0
0.417638,0
0.420418,0
0.423199,0
0.425979,0
0.428759,0
0.431539,0
0.434319,0
0.437099,0
0.43988,0
0.44266,0
0.44544,0
0.44822,0
0.451,0
0.45378,0
0.456561,0
0.459341,0
0.462121,0
0.464901,0
0.467681,0
0.470461,0
0.473242,0
0.476022,0
0.478802,0
0.481582,0
0.484362,0
0.487142,0
0.489923,0
0.492703,0
0.495483,0
0.498263,0
0.501043,0
0.503823,0
0.506603,0
0.509384,0
0.512164,0
0.514944,0
0.517724,0
0.520504,0
0.523284,0
0.526065,0
0.528845,0
0.531625,0
0.534405,0
0.537185,0
0.539965,0
0.542746,0
0.545526,0
0.548306,0
0.551086,0
0.553866,0
0.556646,0
0.559427,0
0.562207,0
0.564987,0
0.567767,0
0.570547,0
0.573327,0
0.576108,0
0.578888,0
0.581668,0
0.584448,0
0.587228,0
0.590008,0
0.592789,0
0.595569,0
0.598349,0
0.601129,0
0.603909,0
0.606689,0
0.609469,0
0.61225,0
0.61503,0
0.61781,0
0.62059,0
0.62337,0
0.62615,0
0.628931,0
0.631711,0
0.634491,0
0.637271,0
0.640051,0
0.642831,0
0.645612,0
0.648392,0
0.651172,0
0.653952,0
0.656732,0
0.659512,0
0.662293,0
0.665073,0
0.667853,0
0.670633,0
0.673413,0
0.676193,0
0.678974,0
0.681754,0
0.684534,0
0.687314,0
0.690094,0
0.692874,0
0.695655,0
0.698435,0
0.701215,0
0.703995,0
0.706775,0
0.709555,0
0.712335,0
0.715116,0
0.717896,0
0.720676,0
0.723456,0
0.726236,0
0.729016,0
0.731797,0
0.734577,0
0.737357,0
0.740137,0
0.742917,0
0.745697,0
0.748478,0
0.751258,0
0.754038,0
0.756818,0
0.759598,0
0.762378,0
0.765159,0
0.767939,0
0.770719,0
0.773499,0
0.776279,0
0.779059,0
0.78184,0
0.78462,0
0.7874,0
0.79018,0
0.79296,0
0.79574,0
0.798521,0
0.801301,0
0.804081,0
0.806861,0
0.809641,0
0.812421,0
0.815202,0
0.817982,0
0.820762,0
0.823542,0
0.826322,0
0.829102,0
0.831882,0
0.834663,0
0.837443,0
0.840223,0
0.843003,0
0.845783,0
0.848563,0
0.851344,0
0.854124,0
0.856904,0
0.859684,0
0.862464,0
0.865244,0
0.868025,0
0.870805,0
0.873585,0
0.876365,0
0.879145,0
0.881925,0
0.884706,0
0.887486,0
0.890266,0
0.893046,0
0.895826,0
0.898606,0
0.901387,0
0.904167,0
0.906947,0
0.909727,0
0.912507,0
0.915287,0
0.918068,0
0.920848,0
0.923628,0
0.926408,0
0.929188,0
0.931968,0
0.934749,0
0.937529,0
0.940309,0
0.943089,0
0.945869,0
0.948649,0
0.951429,0
0.95421,0
0.95699,0
0.95977,0
0.96255,0
0.96533,0
0.96811,0
0.970891,0
0.973671,0
0.976451,0
0.979231,0
0.982011,0
0.984791,0
0.987572,0
0.990352,0
0.993132,0
0.995912,0
0.998692,0
1.001472,0
1.004253,0
1.007033,0
1.009813,0
1.012593,0
1.015373,0
1.018153,0
1.020934,0
1.023714,0
1.026494,0
1.029274,0
1.032054,0
1.034834,0
1.037614,0
1.040395,0
1.043175,0
1.045955,0
1.048735,0
1.051515,0
1.054296,0
1.057076,0
1.059856,0
1.062636,0
1.065416,0
1.068196,0
1.070976,0
1.073757,0
1.076537,0
1.079317,0
1.082097,0
1.084877,0
1.087657,0
1.090438,0
1.093218,0
1.095998,0
1.098778,0
1.101558,0
1.104338,0
1.107119,0
1.109899,0
1.112679,0
1.115459,0
1.118239,0
1.121019,0
1.1238,0
1.12658,0
1.12936,0
1.13214,0
1.13492,0
1.1377,0
1.140481,0
1.143261,0
1.146041,0
1.148821,0
1.151601,0
1.154381,0
1.157161,0
1.159942,0
1.162722,0
1.165502,0
1.168282,0
1.171062,0
1.173842,0
1.176623,0
1.179403,0
1.182183,0
1.184963,0
1.187743,0
1.190523,0
1.193304,0
1.196084,0
1.198864,0
1.201644,0
1.204424,0
1.207204,0
1.209985,0
1.212765,0
1.215545,0
1.218325,0
1.221105,0
1.223885,0
1.226665,0
1.229446,0
1.232226,0
1.235006,0
1.237786,0
1.240566,0
1.243347,0
1.246127,0
1.248907,0
1.251687,0
1.254467,0
1.257247,0
1.260028,0
1.262808,0
1.265588,0
1.268368,0
1.271148,0
1.273928,0
1.276708,0
1.279489,0
1.282269,0
1.285049,0
1.287829,0
1.290609,0
1.293389,0
1.29617,0
1.29895,0
1.30173,0
1.30451,0
1.30729,0
1.31007,0
1.312851,0
1.315631,0
1.318411,0
1.321191,0
1.323971,0
1.326751,0
1.329532,0
1.332312,0
1.335092,0
1.337872,0
1.340652,0
1.343432,0
1.346213,0
1.348993,0
1.351773,0
1.354553,0
1.357333,0
1.360113,0
1.362893,0
1.365674,0
1.368454,0
1.371234,0
1.374014,0
1.376794,0
1.379575,0
1.382355,0
1.385135,0
1.387915,0
1.390695,0
1.393475,0
1.396255,0
1.399036,0
1.401816,0
1.404596,0
1.407376,0
1.410156,0
1.412936,0
1.415717,0
1.418497,0
1.421277,0
1.424057,0
1.426837,0
1.429617,0
1.432398,0
1.435178,0
1.437958,0
1.440738,0
1.443518,0
1.446298,0
1.449079,0
1.451859,0
1.454639,0
1.457419,0
1.460199,0
1.462979,0
1.46576,0
1.46854,0
1.47132,0
1.4741,0
1.47688,0
1.47966,0
1.48244,0
1.485221,0
1.488001,0
1.490781,0
1.493561,0
1.496341,0
1.499121,0
1.501902,0
1.504682,0
1.507462,0
1.510242,0
1.513022,0
1.515803,0
1.518583,0
1.521363,0
1.524143,0
1.526923,0
1.529703,0
1.532483,0
1.535264,0
1.538044,0
1.540824,0
1.543604,0
1.546384,0
1.549164,0
1.551945,0
1.554725,0
1.557505,0
1.560285,0
1.563065,0
1.565845,0
1.568626,0
1.571406,0
1.574186,0
1.576966,0
1.579746,0
1.582526,0
1.585307,0
1.588087,0
1.590867,0
1.593647,0
1.596427,0
1.599207,0
1.601987,0
1.604768,0
1.607548,0
1.610328,0
1.613108,0
1.615888,0
1.618668,0
1.621449,0
1.624229,0
1.627009,0
1.629789,0
1.632569,0
1.635349,0
1.63813,0
1.64091,0
1.64369,0
1.64647,0
1.64925,0
1.65203,0
1.654811,0
1.657591,0
1.660371,0
1.663151,0
1.665931,0
1.668711,0
1.671492,0
1.674272,0
1.677052,0
1.679832,0
1.682612,0
1.685392,0
1.688173,0
1.690953,0
1.693733,0
1.696513,0
1.699293,0
1.702073,0
1.704854,0
1.707634,0
1.710414,0
1.713194,0
1.715974,0
1.718754,0
1.721534,0
1.724315,0
1.727095,0
1.729875,0
1.732655,0
1.735435,0
1.738215,0
1.740996,0
1.743776,0
1.746556,0
1.749336,0
1.752116,0
1.754896,0
1.757677,0
1.760457,0
1.763237,0
1.766017,0
1.768797,0
1.771577,0
1.774358,0
1.777138,0
1.779918,0
1.782698,0
1.785478,0
1.788258,0
1.791039,0
1.793819,0
1.796599,0
1.799379,0
1.802159,0
1.804939,0
1.807719,0
1.8105,0
1.81328,0
1.81606,0
1.81884,0
1.82162,0
1.824401,0
1.827181,0
1.829961,0
1.832741,0
1.835521,0
1.838301,0
1.841082,0
1.843862,0
1.846642,0
1.849422,0
1.852202,0
1.854982,0
1.857762,0
1.860543,0
1.863323,0
1.866103,0
1.868883,0
1.871663,0
1.874443,0
1.877224,0
1.880004,0
1.882784,0
1.885564,0
1.888344,0
1.891124,0
1.893905,0
1.896685,0
1.899465,0
1.902245,0
1.905025,0
1.907805,0
1.910586,0
1.913366,0
1.916146,0
1.918926,0
1.921706,0
1.924486,0
1.927267,0
1.930047,0
1.932827,0
1.935607,0
1.938387,0
1.941167,0
1.943948,0
1.946728,0
1.949508,0
1.952288,0
1.955068,0
1.957848,0
1.960629,0
1.963409,0
1.966189,0
1.968969,0
1.971749,0
1.974529,0
1.977309,0
1.98009,0
1.98287,0
1.98565,0
1.98843,0
1.99121,0
1.99399,0
1.996771,0
1.999551,0
2.002331,0
2.005111,0
2.007891,0
2.010671,0
2.013452,0
2.016232,0
2.019012,0
2.021792,0
2.024572,0
2.027352,0
2.030133,0
2.032913,0
2.035693,0
2.038473,0
2.041253,0
2.044033,0
2.046813,0
2.049594,0
2.052374,0
2.055154,0
2.057934,0
2.060714,0
2.063494,0
2.066275,0
2.069055,0
2.071835,0
2.074615,0
2.077395,0
2.080175,0
2.082956,0
2.085736,0
2.088516,0
2.091296,0
2.094076,0
2.096856,0
2.099637,0
2.102417,0
2.105197,0
2.107977,0
2.110757,0
2.113537,0
2.116318,0
2.119098,0
2.121878,0
2.124658,0
2.127438,0
2.130218,0
2.132998,0
2.135779,0
2.138559,0
2.141339,0
2.144119,0
2.146899,0
2.149679,0
2.15246,0
2.15524,0
2.15802,0
2.1608,0
2.16358,0
2.16636,0
2.169141,0
2.171921,0
2.174701,0
2.177481,0
2.180261,0
2.183042,0
2.185822,0
2.188602,0
2.191382,0
2.194162,0
2.196942,0
2.199723,0
2.202502,0
2.205283,0
2.208063,0
2.210843,0
2.213623,0
2.216403,0
2.219184,0
2.221964,0
2.224744,0
2.227524,0
2.230304,0
2.233084,0
2.235865,0
2.238645,0
2.241425,0
2.244205,0
2.246985,0
2.249765,0
2.252546,0
2.255326,0
2.258106,0
2.260886,0
2.263666,0
2.266446,0
2.269227,0
2.272007,0
2.274787,0
2.277567,0
2.280347,0
2.283127,0
2.285908,0
2.288688,0
2.291468,0
2.294248,0
2.297028,0
2.299808,0
2.302588,0
2.305369,0
2.308149,0
2.310929,0
2.313709,0
2.316489,0
2.319269,0
2.32205,0
2.32483,0
2.32761,0
2.33039,0
2.33317,0
2.33595,0
2.338731,0
2.341511,0
2.344291,0
2.347071,0
2.349851,0
2.352631,0
2.355412,0
2.358192,0
2.360972,0
2.363752,0
2.366532,0
2.369312,0
2.372092,0
2.374873,0
2.377653,0
2.380433,0
2.383213,0
2.385993,0
2.388773,0
2.391554,0
